Obs,Cust,D1.1,D1.2,D1.3,D1.4,D2.1,D2.2,D2.3,D2.4,D2.5,D2.6,D3.1,D3.2,D3.3,D3.4,D3.5,D4.1,D4.2,D4.3,D4.4,D4.5,D4.6,D4.7,D4.8,D4.9,D4.10,D5,D6,D7,D8,D9.1,D9.2,D9.3,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D11.1,D11.2,D11.3,D11.4,D11.5,D11.6,D11.7,D11.8,D11.9,D11.10,D11.11,D12.1,D12.2,D12.3,D12.4,D12.5,D12.6,D12.7,D12.8,D12.9,D12.10,D12.11,D12.12,D12.13,D12.14,D12.15,D12.16,D12.17,D12.18,D13,D14.1,D14.2,D14.3,D14.4,D14.5,D14.6,D14.7,D15.1,D15.2,D15.3,D15.4,D15.5,D15.6,D15.7,D16,D17.1,D17.2,D17.3,D17.4,D17.5,D17.6,D17.7,D18.1,D18.2,D18.3,D18.4,D18.5,D18.6,D18.7,D18.8,D18.9,D18.10
329,1,2,4,2,2,2,5,3,,,,Panera,Sticks,Noodles & Company,Hondos,Burgerworks,1,2,1,2,1,2,2,1,3,,1,2,2,1,0,,,,,,4,,,,,,,,,,,,,,,,,2,,,5,6,,,,,11,,,14,,,,,3,1,2,,4,5,,,1,,,,,,,1,2,1,,1,,,,1,3,4,2,3,3,3,3,6,
330,1,2,3,2,2,1,6,1,1,1,,Outback,Jason's Deli,Mexican,Sticks,Melting Pot,1,1,1,1,1,1,1,1,3,,1,2,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,5,,,,,,,12,,14,,,,,2,1,,3,,5,,,1,,,,,,,1,6,3,6,6,6,6,,4,3,3,2,2,3,3,3,6,
331,1,1,4,2,2,1,1,1,6,,,Wendy's,Tubby's,McDonalds,Sticks,East Garden,1,2,1,2,1,1,2,1,2,,1,3,3,2,0,0,1,,,,,5,,,,,,,,,6,,8,,10,,,,,,,,,,,,,,,14,15,,17,,1,,,,,,,,1,,,,,,,1,3,6,1,6,6,1,,1,2,3,2,2,1,3,1,2,
332,1,2,2,3,2,3,2,1,6,1,,Chipotle,Sticks,Noodles and co,Wendy's,Burger king,1,2,1,1,1,2,2,2,2,,1,2,3,2,Two,,,,,,,,6,,,1,,,,,,,,,,,,,,,5,,,,,,,12,,14,,,,,4,,2,3,,5,,,,,,4,,,,1,5,1,1,1,6,6,,2,2,2,1,1,1,1,1,3,
333,1,1,3,2,2,1,1,1,6,1,,Shadwells,Applebees,Tubbys,Sticks,Outback,1,1,1,1,1,1,1,1,1,,1,3,2,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,,5,,,1,,,,,,,1,3,1,1,6,6,6,,2,2,2,2,2,2,2,2,2,
334,1,2,3,2,1,6,1,1,3,,,MacDonalds,Seltzers Steak House,,,,1,1,2,2,1,2,2,2,3,,2,4,1,2,0,0,0,,,,,,,7,,,,,,,,,,,,N/A,,,,,,,,,9,,11,,,,,,,,1,,,,,,,,,,,4,,,,1,,,1,,,,,1,2,1,1,1,1,1,1,1,
335,1,2,4,1,1,5,6,1,3,1,,Fire House Subs,Sub Way,Noodles,Panera,"Red, Hot and Blue",1,2,1,2,,1,2,1,2,,1,3,3,2,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,6,,8,,,,,,14,,16,17,,2,1,,,4,5,,,,,,4,,,,1,1,6,1,6,6,6,,2,3,2,2,1,1,2,1,3,
336,1,1,4,1,2,4,1,4,2,1,,Sticks,guadelahara,Thai 99,Fry Springs Station,C&O,2,2,1,1,1,2,2,1,2,,1,2,1,2,,,,,,,,5,,,nurse,,,,,,,,,,,,,,3,,5,6,,8,,10,,,,14,15,16,,,1,,,,,,,,,,,4,,,,1,4,6,1,1,6,6,,2,2,4,2,2,3,3,2,3,too expensive
337,1,3,4,2,2,4,3,1,3,1,,Sticks,Bodos,Panera,Subway,brixx,1,3,2,1,1,2,2,1,2,,1,3,3,2,0,0,0,,,,,,6,,registered nurse,,,,,,,,,,,,1,,,,,6,,,,,,12,,,,16,,,1,,,,,,,,1,,,,,,,1,1,3,1,3,6,6,,3,3,2,1,1,2,3,1,2,
338,1,2,2,1,2,1,1,1,6,1,,panera bread,jersey mike's,moe's,chick fil-a,five guys,1,2,2,2,1,1,2,1,2,,2,3,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,2,,,,,5,,,,,,4,,,,1,6,2,1,3,6,6,,2,1,3,2,1,1,2,1,2,
339,1,3,4,2,2,3,1,1,5,2,,Ruby Tuesday,Whole Foods,Sticks,Panera,Aromas,1,2,2,3,2,3,4,2,2,,1,4,3,2,0,0,0,,,,4,,,,retired,,,,,,,,,,,no children,1,,,,,,,,,,,12,13,14,15,,,,2,,,,4,5,,,1,,,,,,,1,6,3,6,1,6,6,,1,3,2,2,2,3,3,3,2,
340,1,1,4,2,1,6,1,1,3,1,,MacDonalds,Dunkin Donuts,,,,1,2,2,2,2,1,2,2,2,,2,4,1,2,0,0,0,,,,,,,7,,,,,,,,,,,,N/A,,,,,,,,,9,,11,,,14,,,,,1,,,,,,,,,,,4,,,,1,,,1,,,,Just went for the first time,2,3,1,1,1,1,1,6,6,
341,1,1,4,1,1,3,2,1,3,,,Citizen,Mekong,Comfort,8/1/2002,Mamma 'Zu,2,3,3,2,1,2,2,1,2,,1,3,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,,,,,8,,,,,13,14,,16,,,2,1,,,4,5,,,,2,,,,,,1,,,1,1,,,,4,3,3,2,3,3,3,3,3,
342,1,1,3,2,1,7,1,1,1,1,,Sticks,Subway,Ruby Tuesday,Carrabas,Victoria's,2,2,1,1,1,1,1,1,2,,1,4,2,2,,,,,,,,5,,,retired,,,,,,,,,,,,1,,,,,6,,,,,,,,14,,16,,,1,,,,,,,,,,,4,,,,1,6,3,6,6,6,6,,3,3,3,3,3,3,3,3,3,
343,1,1,4,2,2,7,1,1,2,1,,Moe's,Chicfila,Sticks,,,1,1,1,1,1,1,1,1,1,,1,2,2,1,1,1,,,,,,,,7,Financial Director,,,,,,,,8,9,,Baseball,,,,,5,,,,,,,,,,,16,17,,4,1,,,4,5,,,1,,,,,,,1,6,1,6,6,6,6,,3,2,3,2,2,3,2,2,3,
344,1,1,4,2,2,7,1,1,1,1,,"Isaac's Deli & Restaurant (just moved to VA, this is a PA chain)",Panera Bread,Rice & Noodles (Vietnamese),Maharaja Indian,Sticks Kebob Shop Pantops,2,3,1,1,1,1,2,1,3,,1,2,2,2,0,0,0,,,,,,6,,,,,,,,,,,,,,,,,,,6,,8,,,11,12,,14,,,,cooking,2,1,2,3,4,5,,,1,,,,,,,1,2,2,6,6,6,6,,3,3,4,1,2,4,2,3,6,
345,1,2,4,2,2,4,1,1,2,1,,Panera,Chick Fil A,Moe's,Champps,Toast,2,2,1,2,1,2,2,1,2,,1,3,3,2,1,,,,,,,,,7,,1,,3,,5,,,8,9,10,"Gymnastics, Basketball",1,2,3,,5,,7,,,,11,,13,14,15,16,17,,3,1,,3,4,5,,,,,,,5,,,2,,,,,,,,3,2,3,2,2,3,3,2,3,
346,1,2,3,2,3,4,1,2,2,1,,Panera,Chick Fil A,Champps,Moe's,Toast,2,2,1,1,1,2,2,1,2,,1,3,3,2,1,,,,,,,,,7,,1,,3,,5,,,8,9,10,"Gymnastics, basketball",1,2,3,,5,,7,,,,11,,13,14,15,16,17,,3,1,,3,4,5,,,,,,,5,,,2,,,,,,,,3,2,3,2,2,3,3,2,3,
347,1,1,4,4,1,1,5,1,2,1,,Mediterreaneo,Plaza Azteca,Jason's Deli,Chipotle,Sticks,1,2,2,2,1,2,2,1,2,,1,2,2,2,1,,,,,,,,,7,Scientist,1,,,,,,,,9,,,,,,,,,,,,,,,13,,,16,17,,2,1,2,3,,5,,,1,,,,,,,1,1,6,6,6,6,6,,1,1,2,2,2,2,2,2,6,
348,1,2,4,2,1,3,4,1,3,1,,Chipotle,Sticks,Panera,A food truck,Arbys,1,2,1,3,1,2,2,1,3,,1,1,1,2,,,,,,,,,,7,,,,,,,,,,,,,1,,,,5,,,,,,,,,14,,,,,2,,,3,,,,,1,,,,,,,1,3,6,6,6,6,6,,3,3,3,6,2,3,3,3,6,
349,1,2,4,2,2,3,5,1,2,1,,Chipotle,Panera,Sticks,Sticky Rice,8/1/2002,1,4,1,1,1,5,5,4,5,,1,2,2,2,0,0,0,,,,,,,7,Scientist,,,,,,,,,,,,1,,,,5,,,,,,,,,14,15,16,,,4,,2,3,4,5,,,,,,4,,,,1,3,1,6,6,6,6,,1,4,5,1,1,3,3,2,3,
350,1,1,1,1,1,7,1,1,1,1,,Sticks,Tip Top,West Main,Bonefish Grill,,1,,1,,1,1,1,1,1,,2,4,2,2,0,0,0,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,excercise,1,,,,,,,,1,,,,,,,1,,1,,,,,,2,3,1,3,1,1,1,1,1,
351,1,2,2,2,1,2,4,1,4,1,,Raising canes,Popeyes,Sticks,Pizza Hut,,3,2,1,2,1,1,1,1,3,,1,3,2,1,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,8,,,,,,14,,,,Women ministry,5,1,,,,5,6,,,,,,5,,,1,3,4,1,6,1,6,,6,3,3,2,2,1,1,1,1,
352,1,1,2,1,2,2,6,2,3,1,,Sticks,royal indian,mas,equi es mexico,wendys,1,1,1,1,1,2,1,1,2,,1,2,1,1,,,,,,,,5,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,3,2,3,6,6,,1,1,1,1,1,1,1,1,1,
353,1,2,2,2,2,6,2,1,2,1,,Sticks,Archs,Subway,Whole Foods (cafe/salad bar),Panera,2,3,2,1,1,2,2,2,3,,1,1,1,1,,,,,,,,5,,,Graduate Student,,,,,,,,,,,,,,,,5,6,,,,,,,,14,15,16,,,3,,,3,,5,,,1,,,,,,,1,2,3,3,3,6,6,,2,3,2,1,1,1,2,2,2,
354,1,1,4,2,1,1,6,1,1,1,,Panera,Five Guys,Taco Bell,Jason's Deli,Bonefish,1,1,1,1,1,1,1,1,1,,1,1,1,3,,1,,,,3,,,,,Nurse,,,3,,,6,,,,,Cross Country,1,,,,,6,,,,,,12,,14,,,17,,1,,,,,,,,1,,,,,,,1,6,3,6,3,1,6,,4,4,3,2,1,2,2,2,2,
355,1,1,4,2,1,1,1,1,7,1,,chickfila,subway,,,,2,2,2,2,2,2,2,2,3,,1,3,2,1,,,,,,,,,6,,,,,,,,,,,,,,,2,,,5,,,8,9,,,,,14,,,,,2,1,2,3,4,5,6,,,,,4,,,,1,1,6,6,6,6,6,,3,3,3,3,3,3,3,3,3,
356,1,3,4,2,1,7,1,1,2,1,,Mauritzio's,Sticks,LaTolteca,Plaza Azteca,Guiseppis,1,1,1,1,1,1,2,1,2,,1,3,2,2,0,0,0,,,,,5,,,retired,,,,,,,,,,,,1,,,,,,,8,9,,11,,,14,,16,17,,2,1,,,4,5,6,,1,,,,,,family in Charlottesville,1,1,4,6,6,6,6,,1,1,3,1,1,1,2,1,3,
357,1,2,3,3,2,5,1,1,3,1,,Chipolte,Sticks,Christians,,,1,2,1,1,1,2,2,1,2,,1,2,3,2,2,,,,,,,,6,,,1,,,,5,,7,,,,,,,,,5,,,,,,11,,,,,,,,2,1,,,,5,,,,,3,,,,,1,3,1,1,6,6,6,,3,3,2,1,1,1,2,1,1,
359,1,1,4,1,1,2,1,1,3,3,,Martins,Chic. Fila,BBQ,Home,N/a,,,,,,,,,,,1,1,2,3,0,1,3,,,,,,,7,Stylist,,,,,,,,,,10,,,,,,,,,,,,,,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1,2,2,1,1,1,1,1,3,4,,Mcdonalds,Cracker Barrel,Burger King,Taco Bell,Costco,1,1,1,1,1,2,2,1,3,,1,3,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,Hockey,,,,,,6,,,,,,,,,,,17,,2,1,,3,4,5,6,,1,,,,,,,2,,,,,,,,1,1,3,3,1,3,2,1,3,
361,1,2,4,1,1,1,2,1,5,,,Sticks Kebob Shop,Christians Pizza,Wendy's,Bodo's,Taco Bell,1,1,1,1,1,1,1,1,1,,1,3,1,1,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,6,,8,,,,,,14,,16,,reading mysteries,2,1,,3,,5,,Attractions Book,,,,4,,,,1,4,6,6,6,6,6,,1,1,1,1,1,1,1,1,1,
362,1,3,2,1,2,4,1,1,1,5,,boylan,toros tacos,mellow mushroon,sushi love,crozet pizza,,,,,,,,,,,1,1,1,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1,2,2,2,2,,4,2,3,1,,Chipotle,UVa's Fine Arts Cafe,Other UVa Dining,Stix,,2,2,2,2,1,1,2,1,1,Organic or local meat/produce,1,2,1,1,0,0,0,,,,,5,,,Health Educator,,,,,,,,,,,no children,,,,,,,,,,,,,,,,,,"Working out, couponing",1,,,,,,,,1,,,,,,,1,1,1,6,6,6,6,,1,2,3,2,1,2,2,2,2,
364,1,1,2,1,1,6,,3,,,,Lemongrass,Little Johns,Bodos,Rev Soup,Panera,,,,,,,,,,,1,1,2,2,,,2 (My brother and I live with our parents),,,,,,,7,Student,,,,,,,,,,,,1,,,,5,,,,,,,12,,14,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1,1,1,1,1,6,1,1,3,1,,little johns,bodos,christians,take it away,lemongrass,,,,,,,,,,,1,1,1,3,0,0,0,,,,,5,,,student,,,,,,,,,,,,1,,,4,5,6,,,,,,12,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,1,2,3,2,3,4,4,3,3,2,,Bodo's,Cookout,Stick's,Belmont BBQ,Panera,2,1,1,1,1,1,1,2,2,,1,1,1,1,,,,,,,,5,,,student,,,,,,,,,,,,1,2,,4,5,,,,,,11,12,,14,,16,,,2,,2,3,4,,,,1,,,,,,,1,3,3,1,1,6,6,,1,1,1,1,1,1,1,1,1,
367,1,2,2,2,2,7,1,1,1,3,,Rev Soup,Boylan,Trinity,Starbucks,Panera,1,1,1,1,1,1,1,1,,,1,1,3,1,0,0,0,,,,,,,7,student,,,,4,,,,,,,,1,,,,5,,,,,,11,12,,14,,,,,2,,,3,,,,,,,3,,,,,1,6,2,2,2,6,6,,1,1,1,1,1,1,1,1,1,
368,1,2,4,2,1,1,1,2,5,3,,Taco Bell,ChikFilA,McDonald's,Stick's,Arby's,2,3,1,2,1,3,3,2,3,,1,2,1,1,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,5,,,,,10,,,,14,,,,,2,1,,3,4,5,,,1,,,,,,,1,4,1,6,6,6,6,,2,3,4,1,1,2,2,2,2,"In regards to price, I hate to use the word ""worse"".  I am willing to pay a little higher price for the food at Stick's, but sometimes the prices detracts me from eating there."
369,1,2,3,3,3,1,2,2,2,1,,El vaquero west,Dogwood,Sticks,Riverside,Zazus,1,1,1,1,1,1,3,1,2,,1,2,2,2,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,8,,,,,,14,15,,,,2,1,2,3,4,5,,,1,,,,,,,1,1,6,6,6,1,6,,3,1,1,1,1,1,2,1,2,
370,1,3,2,2,2,,3,,4,,,Panera,Qdoba,Chick-fil-a,McDonalds,,1,3,1,2,1,2,2,2,2,,2,3,3,2,1,1,,1,,,,,,,,1,,,,5,,,,,10,,1,,,,,,,,,,,,,,15,,17,,4,1,,3,,5,,,,2,,4,,,swim team promotion,1,1,,,,,,,3,3,4,1,1,2,4,2,2,
371,1,2,3,2,2,2,5,1,2,1,,Rico's,tazikis,Panera,Chick-Fil-A,Chipotle,2,2,2,2,1,3,2,2,4,,1,2,3,2,0,0,2,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,1,,,,,,,,1,,,,,,,1,6,1,6,6,6,6,,2,3,3,2,2,3,3,3,6,
372,1,1,4,2,2,2,1,2,5,2,,Subway,Burger King,McDonalds,Chickfila,Sticks,1,2,1,2,2,1,2,2,2,,2,2,1,2,4,0,0,,,,,,,7,,,,,,,,,8,9,10,Baseball,1,,,,,,,,,10,,,,,15,,17,,2,1,2,,4,5,,,,,,4,,6,,1,1,1,1,6,6,6,,1,1,1,1,1,1,1,1,1,
373,1,1,4,1,1,5,1,1,,4,,Starbucks,Aromas,Qdoba,Sticks,Cheese Shop,2,2,1,2,1,2,2,1,2,,1,2,1,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,5,,,,,,4,,,,1,6,4,6,6,6,6,,3,2,4,2,2,3,3,3,3,
374,1,2,2,2,2,1,2,2,2,5,,Panera,Sticks,Chipotle,Chick fil A,,1,2,1,1,1,1,1,1,1,,1,2,2,1,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,6,5,2,4,6,6,,1,2,3,1,2,1,1,1,2,
375,1,2,3,2,2,4,4,1,1,2,,Eppies,Royal Indian,Sticks,Bodos,Maharaja,1,1,1,1,1,2,1,1,1,,1,3,3,2,0,0,0,,,,,5,,,,,,,,,,,,,,,1,,,,,6,,8,,,,12,,14,,16,,,3,1,2,,,5,,,,,,4,,,,1,1,6,6,1,6,6,,1,1,2,2,1,3,3,3,3,
376,1,1,4,1,1,1,4,1,3,3,,The Market,Sedona,Noodles & Company,Foods of all nations,Sticks,2,2,2,1,1,2,2,2,2,,1,2,2,1,0,0,0,,,,,,,7,Retail Manager,,,,,,,,,,10,,1,,,,,,,,,,,,,,15,,,,4,1,2,3,4,5,6,,1,,,,,,,1,6,2,6,1,6,6,,2,1,2,1,1,1,1,1,1,
377,1,1,2,1,1,5,5,1,3,1,,Which wich,Panera,Jason's Deli,Sticks,,3,2,3,1,1,2,2,2,3,,1,2,1,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,6,,,,10,11,12,,14,,16,,,2,1,2,3,,5,,,1,,,,,,,1,3,1,6,6,6,6,,2,2,2,2,1,2,2,1,3,
378,1,2,2,1,1,2,4,1,4,1,,Chipotle,Food for Thought,Panera,,,2,2,3,1,1,2,2,1,2,,1,2,3,2,3,,,,,,,,,7,Psychologist,1,,,,,,,8,9,10,"Softball, basketball, gymnastics",1,,,,,,,,,10,11,,,,15,16,17,,2,,2,,4,5,,,,,,4,,,,1,1,1,1,6,6,6,,3,4,4,3,3,3,3,4,2,
379,1,2,3,2,2,5,2,1,3,,,Lord Hardwicks,Riverside,The Nook,Eppies,Papa Johns,2,1,2,1,2,2,3,2,2,,1,3,2,2,0,0,0,,,,4,,,,,,,,,,,,,,,,1,,,,5,,,,,,11,,,14,,,,,2,1,,3,4,5,,,,2,,,,,,1,1,6,1,6,2,6,,3,2,4,2,2,3,3,2,2,
381,1,1,4,1,1,2,3,2,2,1,,noodles,sticks,chilis,ruby tuesday,panera bread,1,2,1,1,1,2,2,1,2,,1,2,1,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,6,,,9,,11,12,,14,15,16,,,3,1,2,3,4,5,,,1,,,,,,,1,3,,3,3,,,,2,3,2,2,2,3,3,2,3,
382,1,3,2,4,3,5,1,1,2,1,,Guadalajara,Chipotle,Beer Run,Papa Johns,Blue Mtn Brewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,
383,1,1,3,2,1,4,4,1,5,1,,Arbys,STICKS,five guys,noodles,jason deli,2,2,1,1,1,1,2,1,2,,2,2,2,2,2,,,,,,,,,7,,,,,,5,,,8,9,10,,1,,,,,,,,9,,,,,14,15,16,17,,4,,,,4,5,,,,,,,5,,,1,2,1,1,1,4,6,,2,1,2,1,1,1,2,1,2,
384,1,2,3,2,2,3,1,1,5,2,,Sticks,Mykonos Cafe,Lord Hardwick's,Logan's Roadhouse (Waynesboro),Otto's (Crozet),2,2,2,3,1,2,2,1,4,,2,3,2,2,0,0,0,,,,,,,7,Arts management/production,,,,,,,,,,,,1,,3,,,,,,,,,,,14,,,,,1,,,,,,,,,,,4,,,,1,4,6,1,6,6,6,,3,3,2,2,2,1,3,2,1,
385,1,2,3,2,2,1,4,1,3,1,,Sticks,Outback,Timberwood,,,1,1,1,1,1,1,1,1,2,,1,2,3,2,0,0,0,,,,,,,7,IT Programmer Analyst,,,,,,,,,,,no children,1,,,,5,6,,8,,,,12,,14,,16,,,1,,,,,,,,,,,4,,,,1,6,6,4,1,6,6,,1,2,1,1,1,1,1,1,2,
386,1,3,2,2,1,6,1,1,2,2,,Hibachi Grill,Milan,Royal Indian,Zazu,Christian's,2,2,1,2,1,2,3,1,3,,2,3,1,1,,,,,,,,,,7,,,,,,,,,,,,,,2,3,4,5,6,7,,9,,11,,,14,15,16,,,2,,2,3,,5,6,,1,,,,,,,2,,,,,,,,2,2,4,1,1,2,3,1,3,
387,1,1,4,2,1,5,1,1,2,1,,Pizza Hut,Christian's Pizza,Which Wich,Bel Air Market,Bang!,2,1,1,2,1,1,3,2,3,,2,2,2,2,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,4,5,6,,,,,11,,,14,,16,,,1,,,,,,,,1,,,,,,,2,,,,,,,,3,2,4,1,1,2,2,1,2,
388,1,2,3,2,2,3,6,1,1,1,,Richardson Cafe (Local Restaurant),Starbucks,Panera Bread,Sticks,Grecian Plate,2,1,1,1,1,1,2,1,2,,1,3,2,2,0,0,0,,,,,,,7,,,,,,,,,,,,,,,3,,,6,,,,10,11,12,,14,,16,,,2,,2,3,4,5,,,,,,4,,,,1,1,6,6,6,6,6,,2,2,3,2,2,3,3,2,2,
389,1,3,2,2,2,7,1,1,1,1,,Stick's,Jimmy John's,Christian's Pizza,Bodos,el Puerto,1,1,1,1,1,2,2,1,2,,1,2,1,2,2,0,0,,,,,,,7,sales  & marketing,,,,,,,,8,9,10,,,,,,,6,,,9,10,,,,,15,,17,,2,1,,,4,5,6,,,,,4,,,,1,6,1,6,1,6,6,,1,3,4,2,1,2,1,1,1,
390,1,2,2,2,1,3,2,,3,1,,Sticks,Chipotle,Guadalajara,Bonefish,Thai 99,2,2,1,2,1,1,2,1,2,,2,3,3,2,2,2,,,,,,,,7,,1,,,,,6,,,,,field hockey,1,,,,,,7,8,,,,,,14,15,,17,,1,,,,,,,,1,,,,,,,1,1,1,,1,,,,2,2,3,1,1,1,3,1,2,
391,1,1,4,2,1,1,3,1,4,1,,Superstars,Sticks,Mekong,Tazikis,Noodles and Company,1,1,1,1,1,2,2,2,3,,1,3,3,2,2,,,,,,,,,7,,,,,,,,,,,,"Ballet , Gymnastics",,,,,,,,,,,,,,,,,17,,2,1,2,3,4,5,6,love your FB promotions,,,,4,,,,1,6,3,6,1,6,6,,2,1,2,1,1,1,2,1,3,
392,1,2,4,1,2,2,1,3,4,1,,Chipotle,Zazus,Panera,Vivace,Bodos,2,1,1,1,1,2,2,2,2,,1,1,3,2,0,1,2,,,,4,,,,Retail,1,,,4,,,,,,,,1,,,,5,6,,,,,,12,,14,,,,,2,,2,3,4,5,,,1,,,,,,,1,1,1,1,1,,,,2,2,1,1,1,1,1,1,2,
393,1,1,4,2,1,7,5,1,1,2,,Panera,Tropical Smoothie,Sticks Kebobs,South of the Border,The Cove,2,2,1,1,2,2,2,2,2,,1,2,1,2,1,1,,,,,,,,7,,,,,,5,6,7,8,9,10,Field Hockey,,,,,5,6,,8,,10,11,12,,14,15,,17,,2,1,,,,,,,,,,4,,,,1,6,2,1,1,6,6,,2,2,3,1,1,1,1,2,3,
394,1,2,4,2,1,3,3,4,1,1,,Jason's Deli,Taco Bell,Panara Bread,Ukrops Deli,Pad Thaia,3,2,2,2,1,2,3,1,2,,1,3,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,3,,,,,8,9,,,,,14,,,,,2,1,,3,,5,6,,,,,4,,,,1,1,1,6,6,6,6,,3,2,4,2,2,3,3,3,2,
395,1,1,2,2,2,1,1,1,4,2,,Sticks,Cookout,McDonalds,,,1,1,1,3,1,1,1,1,1,,1,3,2,1,0,0,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,3,1,,,4,5,,,,,,4,,,next door,1,1,6,6,6,6,6,,1,1,3,1,1,1,1,1,1,
396,1,3,2,1,2,3,1,1,4,1,retired.....,Three Notched Grill,Stix,Brixx,Lime Leaf,Baja Bean,1,1,1,1,1,1,2,1,2,,1,3,3,1,,,NONE,,,,,,6,,flight attendant,,,,,,,,,,,,,,,4,,,,8,,,,12,,14,15,,,,1,,,,,,,,1,,,,,,,1,3,1,2,,6,6,,4,3,2,3,3,3,3,3,3,
397,1,2,3,2,3,,6,1,1,1,,Chipotle,Chick-fil-a,Cogan's,Moe's,Manhatten Bagel,1,1,1,2,1,2,2,2,2,,1,2,2,2,0,0,0,,,,,5,,,,,,,,,,,,,,,,,,,5,6,,8,,,,12,,14,15,16,,,2,1,,3,4,5,,,1,,,,,,,2,,,,,,,,3,3,2,1,3,3,3,3,6,
398,1,2,3,1,1,2,2,4,2,1,,Guadalajara,Asian Express,College Inn,Continental Divide,Monsoon Siam,2,2,2,4,1,2,2,1,1,,1,2,2,2,0,0,0,,,,,,,7,Restaurant server,,,,,,,,,,,,,,,,,,,,,,,,,14,15,16,,,1,,,,,,,,1,,,,,,,2,,,,,,,,2,4,3,1,3,4,4,2,3,
399,1,2,3,1,2,2,2,,5,2,,Shebeen,El Tepeyac,Eppie's,,,3,3,1,3,1,2,1,1,1,,1,2,3,2,0,0,0,,2,,,,,,,,,,,,,,,,,,1,,,4,,,,8,,,,,,14,,,,,3,1,2,3,4,5,6,,,,,4,,,,1,6,1,6,6,6,6,,3,4,2,1,2,2,4,3,2,
400,1,1,3,1,2,2,2,1,3,4,,Chick-fil-a,Cracker Barrel,Sticks,Noodles and Company,Ruby Tuesdays,2,2,1,1,1,1,2,1,1,,1,3,2,2,0,0,3,,,,,5,,,,,,,,,,,,,10,,1,,,,,,,,,,,,13,14,15,16,,knitting,4,1,,3,4,5,,email offer,1,,,,,,,1,6,1,6,6,6,6,,2,2,2,1,1,1,2,1,1,
401,1,1,3,2,2,5,1,1,4,,,Pizza express,Tiki tiki,Chik-fil-a,Mall food court,Caffespresso,1,1,1,1,1,2,2,1,1,,1,3,3,2,3,,,,,,,5,,,,1,2,3,,5,6,,8,,10,Univ. of richmond events,1,2,,,,,,,,,,,,14,15,,17,,3,1,,3,,5,,,1,,,,,,,1,6,1,6,6,6,6,,4,4,3,1,2,3,3,3,2,
402,1,2,2,2,1,1,2,3,3,1,,Bodo's,Take It Away,Burger King,Sticks,,1,1,1,1,1,1,1,1,1,,1,2,1,1,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,13,14,,16,,,2,1,2,3,4,5,6,,1,2,,4,,,,1,1,6,6,1,6,6,,1,2,1,1,1,2,2,1,1,
403,1,1,3,1,1,5,1,3,3,4,,Bodos,Hot Cakes,Einsteins,Orzo,Panera,1,1,1,1,1,2,1,1,1,,1,1,1,1,,,,,,,,5,,,Student,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,2,,,,4,5,6,,1,,,,,,,1,,1,,,,,,1,1,1,1,1,1,1,1,1,
