Obs,Cust,D1.1,D1.2,D1.3,D1.4,D2.1,D2.2,D2.3,D2.4,D2.5,D2.6,D3.1,D3.2,D3.3,D3.4,D3.5,D4.1,D4.2,D4.3,D4.4,D4.5,D4.6,D4.7,D4.8,D4.9,D4.10,D5,D6,D7,D8,D9.1,D9.2,D9.3,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D11.1,D11.2,D11.3,D11.4,D11.5,D11.6,D11.7,D11.8,D11.9,D11.10,D11.11,D12.1,D12.2,D12.3,D12.4,D12.5,D12.6,D12.7,D12.8,D12.9,D12.10,D12.11,D12.12,D12.13,D12.14,D12.15,D12.16,D12.17,D12.18,D13,D14.1,D14.2,D14.3,D14.4,D14.5,D14.6,D14.7,D15.1,D15.2,D15.3,D15.4,D15.5,D15.6,D15.7,D16,D17.1,D17.2,D17.3,D17.4,D17.5,D17.6,D17.7,D18.1,D18.2,D18.3,D18.4,D18.5,D18.6,D18.7,D18.8,D18.9,D18.10
286,1,1,3,2,1,2,,,6,,,Westhampton pharmacy lunch counter,Sticks,Chipotle,Vietnam 1,,2,2,2,2,1,2,2,2,2,,1,3,3,2,,,,,,,,,,7,,,,,,,,,,,,,1,,,,,,,8,,,,,13,14,,16,,,1,,,,,,,,,,,4,,,,1,5,6,2,6,6,6,,2,3,2,3,2,2,3,2,6,
287,1,2,1,1,1,1,6,1,3,1,,Mexican,Thai 99,Sticks,bodos,chik fil a,2,2,2,1,1,2,,1,3,,1,1,1,2,0,0,0,1,,,,,,,,,,,,,,,,,,,1,,,,,6,,,,,,,,14,15,16,,,2,,,3,4,,,,1,,,,,,,1,1,1,2,2,6,6,,2,1,2,1,1,2,2,2,3,
288,1,3,2,2,2,3,4,3,3,,,Panera bread,Cracker barrel,Outback,Travinia Italian kitchen,Mcdonalds,1,1,1,1,1,2,2,2,2,Looking for low carb options,1,3,2,2,0,0,1,,,,,,,7,Healthcare,,,,,,6,,,,,,,,,,,,,,,,,,,14,,,,"Gym, concerts",2,,,,,5,,,1,,,,,,,1,3,6,4,6,6,6,,2,2,2,1,1,1,1,1,1,
289,1,1,4,2,1,1,1,4,2,1,,Chipotle,Sticks,Panera,Aromas,Feast,1,2,1,1,1,1,2,2,2,,1,1,1,1,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,1,3,6,1,6,6,,3,3,4,3,2,2,2,2,2,
290,1,3,3,2,1,2,6,2,1,1,,Chick fil a,Wild wings,Bodos,Christians,,1,2,1,1,1,1,1,1,2,,1,3,3,2,2,,,,,,,,6,,,1,,,4,5,6,7,8,9,10,,1,,,,,,,,,,,12,13,14,15,16,17,,2,,,,,5,,Attractions book,1,,,,,,,1,6,1,,,1,,,3,3,3,3,3,3,3,3,3,
291,1,1,4,1,1,3,2,1,3,,Two free work lunches,Wild wing cafe,Subway,Bodo's,Sticks,Zazu's,2,2,1,1,1,4,2,1,4,,1,2,3,2,0,0,0,,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,15,,,,4,1,,3,,5,,Attractions coupon book,1,,,,,,,1,6,1,1,1,6,6,,3,3,2,1,2,3,4,2,6,
292,1,1,4,3,3,1,3,1,4,1,,sticks kebab shop,panera,starbucks,five guys,chipotle,1,2,1,1,1,2,1,1,2,,1,3,2,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,6,,8,,,11,12,13,14,,16,,,1,,,,,,,,,,,4,,,wnrn radio ads,1,6,4,6,6,6,6,,3,2,1,1,1,2,2,1,2,
293,1,1,2,1,2,,,5,,,,maharaja,Now and Zen,Bodos,afgan kebab palace,mas,3,1,1,2,1,2,2,1,2,,1,2,2,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,6,,,,10,,12,,14,,,,,2,1,,3,,,,,1,,,,,,,2,,,,,,,,4,3,3,3,3,3,4,3,3,
294,1,1,2,2,1,2,3,1,3,2,,Qdoba,CiCi's,Panera,Uno's,,,,,,,,,,,,1,3,1,1,0,0,0,,,,4,,,,Animal welfare,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,Cooking,2,1,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1,2,2,2,1,1,3,1,2,2,,Qdoba,Panera,Cici's Buffet,Unos,South of the Border,,,,,,,,,,,1,1,1,1,0,0,0,,,,,,6,,Animal Welfare,,,,,,,,,,,0,1,,,,5,,,,,,,12,13,14,,,,,2,,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
